url_id,url,positive_score,negative_score,polarity_score,subjectivity_score,avg_sentence_length,percentage_complex_words,fog_index,avg_words_per_sentence,complex_word_count,syllable_per_word,personal_pronouns,average_word_length
url058,https://www.cnn.com/2024/07/25/politics/jill-biden-paris-olympics/index.html,28,9,0.5135134996347703,0.09113300470164284,406.0,0.9975369458128078,162.79901477832513,406.0,405,6.578817733990148,8,6.578817733990148
url059,https://www.cnn.com/2024/07/26/europe/france-rail-network-disruption-paris-olympics-intl-hnk/index.html,20,46,-0.39393938797061534,0.09141274225566103,722.0,0.9958448753462604,289.1983379501385,722.0,719,6.635734072022161,11,6.635734072022161
url060,https://www.cnn.com/2024/07/26/europe/france-rail-network-disruption-paris-olympics-intl-hnk/index.html,20,46,-0.39393938797061534,0.09141274225566103,722.0,0.9958448753462604,289.1983379501385,722.0,719,6.635734072022161,11,6.635734072022161
url061,https://www.cnn.com/2024/07/26/world/manu-solidaire-paris-cnnheroes/index.html,19,7,0.4615384437869829,0.09154929545229121,284.0,0.9964788732394366,113.99859154929578,284.0,283,6.352112676056338,22,6.352112676056338
url062,https://www.cnn.com/2024/07/26/uk/assisted-dying-bill-gbr-cmd-intl/index.html,29,71,-0.4199999958,0.1572327041552945,636.0,0.9921383647798742,254.79685534591195,636.0,631,6.635220125786163,18,6.635220125786163
url063,https://www.cnn.com/2024/07/26/india/india-laborer-diamond-intl-hnk/index.html,19,7,0.4615384437869829,0.09154929545229121,284.0,0.9964788732394366,113.99859154929578,284.0,283,5.936619718309859,10,5.936619718309859
url064,https://www.cnn.com/2024/07/25/americas/maria-corina-machado-interview-intl-latam/index.html,21,16,0.1351351314828343,0.08240534502805046,449.0,1.0,180.0,449.0,449,6.897550111358575,23,6.897550111358575
url065,https://www.cnn.com/2024/07/25/americas/venezuela-election-opposition-migrate-intl-latam/index.html,15,23,-0.21052631024930765,0.09999999973684211,380.0,1.0,152.4,380.0,380,6.844736842105263,19,6.844736842105263
url066,https://www.cnn.com/2024/07/25/world/isis-k-online-recruitment-security-threat-olympics-intl-cmd/index.html,12,70,-0.7073170645449138,0.12112259952566824,677.0,0.9985228951255539,271.19940915805023,677.0,676,6.784342688330871,3,6.784342688330871
url067,https://www.cnn.com/2024/07/25/world/isis-k-online-recruitment-security-threat-olympics-intl-cmd/index.html,12,70,-0.7073170645449138,0.12112259952566824,677.0,0.9985228951255539,271.19940915805023,677.0,676,6.784342688330871,3,6.784342688330871
url068,https://www.cnn.com/2024/07/24/asia/angkor-temples-cambodia-storm-intl-hnk/index.html,8,12,-0.1999999900000005,0.13157894650277008,152.0,1.0,61.2,152.0,152,6.75,0,6.75
url069,https://www.cnn.com/2024/07/24/australia/surfers-leg-shark-attack-australia-intl-scli/index.html,8,20,-0.4285714132653067,0.13930348189401254,201.0,1.0,80.80000000000001,201.0,201,6.144278606965174,1,6.144278606965174
url070,https://www.cnn.com/2024/07/24/asia/typhoon-gaemi-taiwan-china-intl-hnk/index.html,14,37,-0.45098038331411017,0.07063711901573806,722.0,0.997229916897507,289.198891966759,722.0,720,6.581717451523546,2,6.581717451523546
url071,https://www.cnn.com/2024/07/24/americas/darien-gap-floods-kill-migrants-intl-latam/index.html,5,5,0.0,0.06211180085644844,161.0,1.0,64.8,161.0,161,6.956521739130435,1,6.956521739130435
url072,https://www.cnn.com/2024/07/24/americas/tequila-jose-cuervo-fire-mexico-intl-hnk/index.html,4,7,-0.2727272479338866,0.06111111077160494,180.0,1.0,72.4,180.0,180,6.766666666666667,2,6.766666666666667
url073,https://www.cnn.com/2024/07/24/africa/mauritania-migrants-shipwreck-intl-latam/index.html,0,6,-0.9999998333333611,0.049999999583333336,120.0,1.0,48.400000000000006,120.0,120,6.908333333333333,1,6.908333333333333
url082,https://www.cnn.com/2024/07/20/europe/russia-krasnodar-protest-power-cuts-intl/index.html,4,13,-0.5294117335640156,0.09999999941176471,170.0,1.0,68.4,170.0,170,6.747058823529412,2,6.747058823529412
url083,https://www.cnn.com/2024/07/20/europe/russia-krasnodar-protest-power-cuts-intl/index.html,4,13,-0.5294117335640156,0.09999999941176471,170.0,1.0,68.4,170.0,170,6.747058823529412,2,6.747058823529412
url084,https://www.cnn.com/2024/07/20/europe/cyprus-50-years-division-intl/index.html,14,22,-0.22222221604938291,0.1199999996,300.0,1.0,120.4,300.0,300,7.013333333333334,3,7.013333333333334
url085,https://www.cnn.com/2024/07/20/europe/ukraine-zelensky-uncertainty-russia-negotiations-intl/index.html,70,53,0.13821138099015137,0.13282937350666374,926.0,0.9956803455723542,370.798272138229,926.0,922,6.683585313174946,21,6.683585313174946
url086,https://www.cnn.com/2024/07/19/europe/italian-journalist-giorgia-meloni-tweet-mocking-height-intl-scli/index.html,7,9,-0.12499999218750048,0.0855614968686551,187.0,1.0,75.2,187.0,187,6.422459893048129,2,6.422459893048129
url087,https://www.cnn.com/2024/07/18/europe/putin-summer-residence-fortification/index.html,12,28,-0.39999999000000025,0.08928571408641582,448.0,0.9977678571428571,179.59910714285715,448.0,447,6.776785714285714,0,6.776785714285714
url088,https://www.cnn.com/2024/07/18/europe/europe-russia-isolationist-us-unity-intl-hnk/index.html,20,20,0.0,0.11695906398549981,342.0,0.9649122807017544,137.1859649122807,342.0,330,6.43859649122807,16,6.43859649122807
url089,https://www.cnn.com/2024/07/25/middleeast/israel-netanyahu-us-congress-speech-hostage-reaction-intl/index.html,17,38,-0.3818181748760332,0.0929054052484706,592.0,0.9932432432432432,237.1972972972973,592.0,588,6.5050675675675675,7,6.5050675675675675
url090,https://www.cnn.com/2024/07/25/middleeast/israel-netanyahu-us-congress-speech-hostage-reaction-intl/index.html,17,38,-0.3818181748760332,0.0929054052484706,592.0,0.9932432432432432,237.1972972972973,592.0,588,6.5050675675675675,7,6.5050675675675675
url091,https://www.cnn.com/2024/07/24/middleeast/erdogan-assad-turkey-syrian-refugees-mime-intl/index.html,32,47,-0.18987341531805804,0.09974747462153097,792.0,0.9987373737373737,317.199494949495,792.0,791,6.627525252525253,12,6.627525252525253
url092,https://www.cnn.com/2024/07/24/middleeast/israel-restrictions-palestinian-doctors-gaza-cmd-intl/index.html,11,47,-0.6206896444708683,0.08417997085024678,689.0,0.9912917271407837,275.99651669085637,689.0,683,6.7910014513788095,23,6.7910014513788095
url093,https://www.cnn.com/2024/07/23/middleeast/israel-gaza-war-khan-younis-humanitarian-zone-intl/index.html,19,75,-0.5957446745133546,0.12097812082242199,777.0,0.990990990990991,311.19639639639644,777.0,770,6.550836550836551,31,6.550836550836551
url094,https://www.cnn.com/2024/07/22/middleeast/benjamin-netanyahu-washington-dc-visit-mime-intl/index.html,46,29,0.2266666636444445,0.11591962887802221,647.0,0.9953632148377125,259.19814528593514,647.0,644,6.593508500772797,20,6.593508500772797
url095,https://www.cnn.com/2024/07/22/middleeast/west-bank-attacks-qusra-intl/index.html,9,32,-0.560975596073766,0.09425287334654511,435.0,1.0,174.4,435.0,435,6.7379310344827585,6,6.7379310344827585
url096,https://www.cnn.com/2024/07/25/africa/ethiopia-landslide-deaths-reach-257-intl/index.html,1,9,-0.7999999200000081,0.06410256369165024,156.0,0.9935897435897436,62.7974358974359,156.0,155,6.846153846153846,0,6.846153846153846
url097,https://www.cnn.com/2024/07/25/africa/ethiopia-landslide-deaths-reach-257-intl/index.html,1,9,-0.7999999200000081,0.06410256369165024,156.0,0.9935897435897436,62.7974358974359,156.0,155,6.846153846153846,0,6.846153846153846
url098,https://www.cnn.com/2024/07/23/africa/ethiopia-landslides-intl-latam/index.html,1,19,-0.8999999550000022,0.10989010928631808,182.0,0.9945054945054945,73.1978021978022,182.0,181,6.593406593406593,0,6.593406593406593
url099,https://www.cnn.com/2024/07/23/africa/kenya-protesters-to-occupy-main-airport-intl/index.html,10,22,-0.3749999882812504,0.13852813792844962,231.0,0.9913419913419913,92.7965367965368,231.0,229,7.112554112554113,7,7.112554112554113
url100,https://www.cnn.com/2024/07/22/africa/uganda-anti-corruption-protest-intl/index.html,7,45,-0.7307692167159766,0.14325068831060417,363.0,0.9972451790633609,145.59889807162537,363.0,362,6.8319559228650135,15,6.8319559228650135
url101,https://www.cnn.com/2024/07/23/americas/argos-georgia-fishing-boat-sinks-falklands-intl-latam/index.html,1,9,-0.7999999200000081,0.040160642408993405,249.0,0.9759036144578314,99.99036144578314,249.0,243,6.839357429718875,0,6.839357429718875
url102,https://www.cnn.com/2024/07/23/americas/argos-georgia-fishing-boat-sinks-falklands-intl-latam/index.html,1,9,-0.7999999200000081,0.040160642408993405,249.0,0.9759036144578314,99.99036144578314,249.0,243,6.839357429718875,0,6.839357429718875
url103,https://www.cnn.com/2024/07/23/americas/analysis-venezuela-election-maduro-intl-latam/index.html,24,28,-0.07692307544378701,0.10810810788335112,481.0,0.9937629937629938,192.7975051975052,481.0,478,7.024948024948025,2,7.024948024948025
